2026-08-07 16:12:00,skocherhan,domain,anesa.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://anesa.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,domain,configat.dadjugs.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://configat.dadjugs.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,domain,dadjugs.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://dadjugs.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,domain,webm.anesa.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:12:00,skocherhan,url,http://webm.anesa.cfd,,https://x.com/skocherhan/status/2085760937739374794
2026-08-07 16:43:00,elasticseclabs,domain,lhr.life,,https://x.com/elasticseclabs/status/2085768843494842403
2026-08-07 16:43:00,elasticseclabs,url,http://lhr.life,,https://x.com/elasticseclabs/status/2085768843494842403
2026-08-07 16:43:00,elasticseclabs,domain,api.trycloudflare.com,,https://x.com/elasticseclabs/status/2085768843494842403
2026-08-07 16:43:00,elasticseclabs,url,http://api.trycloudflare.com,,https://x.com/elasticseclabs/status/2085768843494842403
2026-08-07 17:00:00,phishunt_io,domain,trezoriostr-homepage.zapier.app,#phishing,https://x.com/phishunt_io/status/2085773159463080270
2026-08-07 17:00:00,phishunt_io,url,http://trezoriostr-homepage.zapier.app,#phishing,https://x.com/phishunt_io/status/2085773159463080270
2026-08-07 17:00:00,phishunt_io,ip,64.239.123.65,#phishing,https://x.com/phishunt_io/status/2085773159463080270
2026-08-07 20:18:00,James_inthe_box,domain,aerrixon.com,,https://x.com/James_inthe_box/status/2085822978395459781
