2025-04-02 06:46:59,drb_ra,ip,206.81.22.85,#Supershell #C2,https://x.com/drb_ra/status/1907323860954853744
2025-04-02 06:47:07,drb_ra,url,http://103.142.102.1:8888,#Supershell #C2,https://x.com/drb_ra/status/1907323895176147383
2025-04-02 06:47:07,drb_ra,ip,103.142.102.1,#Supershell #C2,https://x.com/drb_ra/status/1907323895176147383
2025-04-02 06:47:16,drb_ra,url,http://23.137.105.217:4000,#Evilginx #C2 #EvilGoPhish,https://x.com/drb_ra/status/1907323930756485279
2025-04-02 06:47:16,drb_ra,ip,23.137.105.217,#Evilginx #C2 #EvilGoPhish,https://x.com/drb_ra/status/1907323930756485279
2025-04-02 06:47:20,drb_ra,ip,176.123.1.151,#Evilginx #C2 #EvilGoPhish,https://x.com/drb_ra/status/1907323950595494261
2025-04-02 06:47:20,drb_ra,url,http://176.123.1.151:9000,#Evilginx #C2 #EvilGoPhish,https://x.com/drb_ra/status/1907323950595494261
2025-04-02 06:47:22,harugasumi,domain,qnjsctvxxc.top,#phishing,https://x.com/harugasumi/status/1907323957923201459
2025-04-02 06:47:22,harugasumi,url,https://qnjsctvxxc.top/D9cxMN,#phishing,https://x.com/harugasumi/status/1907323957923201459
2025-04-02 06:47:22,harugasumi,domain,eqnjsctvxx.top,#phishing,https://x.com/harugasumi/status/1907323957923201459
2025-04-02 06:47:22,harugasumi,url,https://eqnjsctvxx.top/D9cxMN,#phishing,https://x.com/harugasumi/status/1907323957923201459
2025-04-02 06:47:57,drb_ra,url,http://54.37.136.82:587,#C2 #Interactsh,https://x.com/drb_ra/status/1907324103058403591
2025-04-02 06:47:58,drb_ra,url,http://54.37.136.82:25,#C2 #Interactsh,https://x.com/drb_ra/status/1907324107043037290
2025-04-02 06:47:58,drb_ra,ip,54.37.136.82,#C2 #Interactsh,https://x.com/drb_ra/status/1907324107043037290
2025-04-02 06:48:09,drb_ra,url,http://45.88.186.198:7077,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324156267360636
2025-04-02 06:48:09,drb_ra,ip,45.88.186.198,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324156267360636
2025-04-02 06:48:15,drb_ra,url,http://128.90.106.183:2000,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324181529686033
2025-04-02 06:48:15,drb_ra,ip,128.90.106.183,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324181529686033
2025-04-02 06:48:20,drb_ra,url,http://5.252.101.251:8808,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324200194388176
2025-04-02 06:48:40,drb_ra,url,http://54.212.119.154:51610,#NetSupportRAT #C2,https://x.com/drb_ra/status/1907324284097204523
2025-04-02 06:48:40,drb_ra,ip,54.212.119.154,#NetSupportRAT #C2,https://x.com/drb_ra/status/1907324284097204523
2025-04-02 06:48:44,drb_ra,ip,194.26.192.102,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324302187241971
2025-04-02 06:48:44,drb_ra,url,http://194.26.192.102:8808,#C2 #AsyncRAT,https://x.com/drb_ra/status/1907324302187241971
2025-04-02 06:48:55,catnap707,url,http://radiobroadcastin.ggu14.com,#phishing,https://x.com/catnap707/status/1907324348253548683
2025-04-02 06:48:55,catnap707,url,http://auadricentennia.qdr12.com,#phishing,https://x.com/catnap707/status/1907324348253548683
