2022-10-29 05:03:28,RedPacketSec,md5,00170a3b55eb74baea75ccecc1b26281,#malware,https://twitter.com/RedPacketSec/status/1586222161823514624
2022-10-29 05:03:28,RedPacketSec,md5,06d72aedb5b6f026e15d62fef01bc670,#malware,https://twitter.com/RedPacketSec/status/1586222160963665921
2022-10-29 05:03:29,RedPacketSec,md5,0b069e6bee51dc6325e33d484a4b9a80,#malware,https://twitter.com/RedPacketSec/status/1586222163761287170
2022-10-29 05:03:29,RedPacketSec,md5,0c1270c9281c8a540925b0c0853b9a50,#malware,https://twitter.com/RedPacketSec/status/1586222164734353408
2022-10-29 05:03:29,RedPacketSec,md5,0e8a8fa96a1418741c15af44cb690750,#malware,https://twitter.com/RedPacketSec/status/1586222165694844929
2022-10-29 05:16:47,ecarlesi,url,https://8047.doctor/,#malware,https://twitter.com/ecarlesi/status/1586225511608483842
2022-10-29 05:17:08,ecarlesi,url,http://y975.monster/,#malware,https://twitter.com/ecarlesi/status/1586225598715789313
2022-10-29 05:17:11,ecarlesi,url,http://amelimaladie.info,#phishing,https://twitter.com/ecarlesi/status/1586225611160408066
2022-10-29 05:17:36,ecarlesi,url,https://support-connect-netflix.fr,#phishing,https://twitter.com/ecarlesi/status/1586225719398506497
2022-10-29 05:17:53,ecarlesi,url,https://y975.monster/,#malware,https://twitter.com/ecarlesi/status/1586225790798241792
2022-10-29 05:19:03,ecarlesi,url,http://7898.company/,#malware,https://twitter.com/ecarlesi/status/1586226081929076737
2022-10-29 05:19:03,ecarlesi,url,http://critairgouv.info,#phishing,https://twitter.com/ecarlesi/status/1586226082084167681
2022-10-29 05:20:22,ecarlesi,url,http://y976.monster/,#malware,https://twitter.com/ecarlesi/status/1586226413140672512
2022-10-29 05:20:22,ecarlesi,url,https://7898.company/,#malware,https://twitter.com/ecarlesi/status/1586226415707594752
2022-10-29 05:22:18,ecarlesi,url,https://y976.monster/,#malware,https://twitter.com/ecarlesi/status/1586226901265403905
2022-10-29 05:33:06,ecarlesi,url,http://explorewallet.live/,#phishing,https://twitter.com/ecarlesi/status/1586229617094021122
2022-10-29 05:33:52,hunter_phishing,url,https://backup.websitesqatar.com/backup.zip,#phishing,https://twitter.com/hunter_phishing/status/1586229809721798656
2022-10-29 05:34:56,ecarlesi,url,http://ntfx-interverifications.fr,#phishing,https://twitter.com/ecarlesi/status/1586230078131904512
2022-10-29 05:35:14,harugasumi,ip,204.44.76.81,#phishing,https://twitter.com/harugasumi/status/1586230157337329665
2022-10-29 05:35:14,harugasumi,url,https://azzmin.ttdzsz.cn/,#phishing,https://twitter.com/harugasumi/status/1586230157337329665
2022-10-29 05:38:31,ecarlesi,url,https://explorewallet.live/,#phishing,https://twitter.com/ecarlesi/status/1586230983677837317
2022-10-29 05:40:26,ecarlesi,url,http://adfy8.doctor/,#malware,https://twitter.com/ecarlesi/status/1586231465905475585
2022-10-29 05:44:53,ecarlesi,url,http://sucursalauthapppersonas.info,#phishing,https://twitter.com/ecarlesi/status/1586232582228049921
2022-10-29 05:52:17,bunnymaid,url,https://musk2xeth.cc,,https://twitter.com/bunnymaid/status/1586234447304589312
2022-10-29 05:52:17,bunnymaid,url,https://xn--opesea-kt7b.com,,https://twitter.com/bunnymaid/status/1586234447304589312
2022-10-29 05:52:17,bunnymaid,url,https://claimapecolns.com,,https://twitter.com/bunnymaid/status/1586234447304589312
2022-10-29 06:05:17,ecarlesi,url,https://explorewallet.live/index.html,#phishing,https://twitter.com/ecarlesi/status/1586237716756307969
2022-10-29 06:05:42,ecarlesi,url,https://explorewallet.live/products.html,#phishing,https://twitter.com/ecarlesi/status/1586237823333662720
2022-10-29 06:06:53,drb_ra,ip,172.93.193.181,#CobaltStrike,https://twitter.com/drb_ra/status/1586238120697233408
2022-10-29 06:07:40,ecarlesi,url,https://explorewallet.live/accordion.html,#phishing,https://twitter.com/ecarlesi/status/1586238319100305408
2022-10-29 06:10:27,ecarlesi,url,https://explorewallet.live/partners.html,#phishing,https://twitter.com/ecarlesi/status/1586239019339358210
2022-10-29 06:20:22,ecarlesi,url,http://prorectifiire.online/,#phishing,https://twitter.com/ecarlesi/status/1586241515898241024
